bank_ref,amount,value_date,narration
BNK90006,11425.92,2026-06-19,TO TRANSFER-UPI/9ER14FFYVNVQ/ZAYANKIBE DUP
BNK90216,29277.9,2026-06-27,RTGS BRMQG1VED32L MAXGREWAL SETTLEMENT
BNK90055,10803.23,2026-06-15,RZRPY/M1ENF313FPOY/DAVIDTAK
BNK90105,13846.29,2026-06-07,*WVM4W3ZKWDEE* OVIYAYOHANNAN NEFT CR
BNK90176,25153.49,2026-06-26,RTGS J4BDFHJ4D0JM VIRAJGANDHI SETTLEMENT
BNK90102,19272.67,2026-06-15,*CBZAMD270STL* NIHALWASON NEFT CR
BNK90118,40534.88,2026-06-25,RZRPY/IM458AX40DTI/URISHILLAPARSA
BNK90230,377.3,2026-06-01,BANK CHARGES - AMC
BNK90119,4888.75,2026-06-15,RTGS K47O3LQI7E1D YASHODACHAD SETTLEMENT
BNK90195,5196.96,2026-06-14,UPI/RHOUU9SIJPYU/PAYMENT FROM SAUMYAMITTER
BNK90100,20290.64,2026-06-21,TO TRANSFER-UPI/23C42YFKJFPN/SAMARTHYOHANNAN
BNK90054,14002.64,2026-06-07,UPI-uxlez896dysa-LAVANYAKAPOOR-OK
BNK90204,6529.45,2026-06-27,IMPS/SWBKOK3QPWBS/SARTHAKCHAKRABARTI/RZP DUP
BNK90059,10937.83,2026-06-14,RZRPY/P2QD6VASIFPW/YUTIKABHATTI
BNK90097,27965.62,2026-06-28,TO TRANSFER-UPI/PRCJIWVHDK8L/KAMYASHENOY
BNK90185,34720.25,2026-06-09,UPI/IPA2VOI8UYYF/PAYMENT FROM MOHINIWALI DUP
BNK90066,27707.11,2026-06-05,TO TRANSFER-UPI/KF7I8SKCH8JW/PRIYAGOLLA
BNK90046,35280.35,2026-06-28,*GB0S0R2SDS8B* HEMANGINIDASH NEFT CR
BNK90191,42645.53,2026-06-19,RZRPY/T04CHSDINGXU/JASMITROUT DUP
BNK90154,41030.16,2026-06-23,RTGS 7N89LTAJW253 CHAKRADHARNARAIN SETTLEMENT DUP
BNK90008,8742.81,2026-06-19,NEFT-DXMO5BXXC02D-MANBIRBAINS-RAZORPAY
BNK90144,9108.76,2026-06-10,IMPS/XXJVE3DZEEDH/SAIBAWA/RZP DUP
BNK90152,33948.69,2026-06-04,*SAFYH1FKJ4YK* BAKHSHIMAHARAJ NEFT CR
BNK90127,7811.82,2026-06-11,UPI-ibu4fmpkxvha-HAMSINIMALL-OK
BNK90093,27947.17,2026-06-10,RTGS AZTKSZP7G7SI SAANVIGOUR SETTLEMENT
BNK90086,36289.06,2026-06-30,NEFT-NJLCQNT3BNVB-FARASNAGAR-RAZORPAY
BNK90004,6412.42,2026-06-25,*32OC6UZHR5XF* BINABAIL NEFT CR DUP
BNK90194,33577.38,2026-06-19,IMPS/FY981UDP2FMR/ALEXANDERBRAR/RZP
BNK90032,1613.9,2026-06-10,RTGS 8D1WJCITFOYQ VAMAKSHIBATTA SETTLEMENT
BNK90096,7755.79,2026-06-14,IMPS/MDVLNKND669U/NISHAMALLICK/RZP
BNK90161,27689.51,2026-06-08,IMPS/NI10KQSOSX43/AMRITASETH/RZP
BNK90136,15203.12,2026-06-04,*S445GDEJ31GY* LAKSHMIRAVAL NEFT CR
BNK90001,9067.87,2026-06-23,UPI/AJI0Y6DPBHSA/PAYMENT FROM ANIKABEDI
